player_name,player_id,id_num
Kevin Huerter,huertke01,370
Trey Burke,burketr01,371
Bones Hyland,hylanbo01,372
Nate Wolters,woltena01,373
Solomon Hill,hillso01,374
Amar'e Stoudemire,stoudam01,375
Mike Muscala,muscami01,376
Mo Williams,willima01,377
John Konchar,konchjo01,378
Danuel House Jr.,houseda01,379
Trey Lyles,lylestr01,380
Samuel Dalembert,dalemsa01,381
Landry Shamet,shamela01,382
Jeremy Evans,evansje01,383
Jerian Grant,grantje02,384
Georges Niang,niangge01,385
Andray Blatche,blatcan01,386
Ray Allen,allenra02,387
Greivis Vasquez,vasqugr01,388
Nick Calathes,calatni01,389
Willie Cauley-Stein,caulewi01,390
Gabe Vincent,vincega01,391
Noah Vonleh,vonleno01,392
Onyeka Okongwu,okongon01,393
Tyler Zeller,zellety01,394
Shelvin Mack,macksh01,395
Tony Snell,snellto01,396
Khem Birch,birchkh01,397
Chris Duarte,duartch01,398
Precious Achiuwa,achiupr01,399
Isaac Bonga,bongais01,400
Nerlens Noel,noelne01,401
Raymond Felton,feltora01,402
Nassir Little,littlna01,403
Shaquille Harrison,harrish01,404
Tarik Black,blackta01,405
De'Andre Hunter,huntede01,406
Ryan Arcidiacono,arcidry01,407
Kosta Koufos,koufoko01,408
Damion Lee,leeda03,409
Nicolas Claxton,claxtni01,410
Evan Turner,turneev01,411
Terrence Jones,joneste01,412
Jeff Green,greenje02,413
Bismack Biyombo,biyombi01,414
Lavoy Allen,allenla01,415
Daniel Gafford,gaffoda01,416
Marcus Thornton,thornma01,417
Tyler Hansbrough,hansbty01,418
David Nwaba,nwabada01,419
Malik Beasley,beaslma01,420
Wesley Johnson,johnswe01,421
Josh Jackson,jacksjo02,422
Nate Robinson,robinna01,423
Anfernee Simons,simonan01,424
Alex Len,lenal01,425
E'Twaun Moore,mooreet01,426
Darrell Arthur,arthuda01,427
Hamidou Diallo,diallha01,428
Boban Marjanovic,marjabo01,429
Dorell Wright,wrighdo01,430
Marreese Speights,speigma01,431
Jordan Bell,belljo01,432
Lucas Nogueira,noguelu01,433
Darius Miller,milleda01,434
James Ennis III,ennisja01,435
Payton Pritchard,pritcpa01,436
Kevin Garnett,garneke01,437
Devin Vassell,vassede01,438
Isaac Okoro,okorois01,439
Juan Toscano-Anderson,toscaju01,440
PJ Dozier,doziepj01,441
Evan Mobley,mobleev01,442
Ekpe Udoh,udohek01,443
Luke Kornet,kornelu01,444
Shake Milton,miltosh01,445
Jon Leuer,leuerjo01,446
Jaden McDaniels,mcdanja02,447
Drew Gooden,goodedr01,448
Alan Williams,willial03,449
Alexis Ajinca,ajincal01,450
Kendrick Nunn,nunnke01,451
Austin Rivers,riverau01,452
Meyers Leonard,leoname01,453
Xavier Henry,henryxa01,454
Mario Hezonja,hezonma01,455
Tony Bradley,bradlto01,456
