NAME,TEAM,ORPM,DRPM,RPM,WINS,Season,SEASON_ID,PLAYER_ID
Shane Larkin,NY,-2.92,0.63,-2.29,0.51,15,22015,592.0
Chuck Hayes,TOR,-2.75,0.43,-2.31,0.07,15,22015,545.0
Jordan Hill,LAL,-1.22,-1.09,-2.31,0.5,15,22015,490.0
Jerome Jordan,BKN,-1.34,-0.98,-2.32,0.1,15,22015,1014.0
Elliot Williams,UTAH/NO,-1.57,-0.76,-2.33,0.03,15,22015,884.0
Andrew Wiggins,MIN,-1.25,-1.1,-2.35,0.71,15,22015,153.0
Ramon Sessions,SAC/WSH,-2.13,-0.24,-2.37,0.27,15,22015,562.0
Norris Cole,MIA/NO,-2.66,0.29,-2.37,0.39,15,22015,729.0
Gary Neal,CHA/MIN,-1.27,-1.12,-2.39,0.25,15,22015,1143.0
Lou Amundson,CLE/NY,-2.03,-0.36,-2.39,0.19,15,22015,609.0
Clint Capela,HOU,-1.92,-0.48,-2.4,0.02,15,22015,56.0
Jimmer Fredette,NO,-1.33,-1.09,-2.42,0.1,15,22015,571.0
Shabazz Napier,MIA,-2.97,0.55,-2.42,0.18,15,22015,272.0
Jeff Green,BOS/MEM,-1.55,-0.88,-2.43,0.46,15,22015,413.0
Sebastian Telfair,OKC,-1.59,-0.85,-2.44,0.06,15,22015,1114.0
Nene Hilario,WSH,-1.49,-0.99,-2.48,0.26,15,22015,302.0
Will Cherry,CLE,-1.17,-1.32,-2.49,0.01,15,22015,1052.0
Markel Brown,BKN,-1.85,-0.66,-2.51,0.1,15,22015,683.0
Nerlens Noel,PHI,-3.45,0.93,-2.52,0.29,15,22015,401.0
Bryce Cotton,UTAH,0.06,-2.58,-2.53,0.02,15,22015,1167.0
David Stockton,SAC,-1.25,-1.28,-2.53,0.0,15,22015,841.0
Noah Vonleh,CHA,-3.07,0.54,-2.54,0.03,15,22015,392.0
Julius Randle,LAL,-1.45,-1.09,-2.54,0.0,15,22015,59.0
Jeff Withey,NO,-1.15,-1.4,-2.55,0.03,15,22015,479.0
Dwight Powell,BOS/DAL,-1.37,-1.22,-2.59,0.02,15,22015,163.0
Glen Davis,LAC,-3.0,0.41,-2.6,0.07,15,22015,1101.0
Marco Belinelli,SA,-0.08,-2.52,-2.6,0.1,15,22015,233.0
Jack Cooley,UTAH,-1.91,-0.69,-2.6,0.01,15,22015,723.0
Andre Dawkins,MIA,-1.62,-0.98,-2.6,0.0,15,22015,1113.0
Joey Dorsey,HOU,-1.66,-0.95,-2.61,0.06,15,22015,730.0
Ronny Turiaf,MIN,-1.64,-0.99,-2.62,0.0,15,22015,508.0
JaMychal Green,SA/MEM,-1.19,-1.44,-2.63,0.01,15,22015,342.0
Andrew Nicholson,ORL,-2.79,0.15,-2.64,0.02,15,22015,531.0
CJ Wilcox,LAC,-0.26,-2.38,-2.64,0.0,15,22015,718.0
Shawn Marion,CLE,-2.47,-0.18,-2.65,0.04,15,22015,507.0
Mike Miller,CLE,-2.4,-0.26,-2.65,0.02,15,22015,747.0
Jamaal Franklin,DEN,-1.66,-1.0,-2.66,0.0,15,22015,1123.0
Jason Thompson,SAC,-2.31,-0.36,-2.67,0.05,15,22015,488.0
Marcus Morris Sr.,PHX,-0.58,-2.11,-2.69,0.02,15,22015,334.0
Brandon Bass,BOS,-1.19,-1.51,-2.69,0.02,15,22015,478.0
Furkan Aldemir,PHI,-1.13,-1.57,-2.69,0.0,15,22015,788.0
Greg Smith,DAL,-3.0,0.29,-2.71,0.0,15,22015,947.0
Victor Claver,POR,-1.81,-0.9,-2.71,0.0,15,22015,690.0
Michael Beasley,MIA,-2.3,-0.42,-2.72,0.0,15,22015,521.0
DeMar DeRozan,TOR,-2.28,-0.48,-2.76,-0.08,15,22015,78.0
