TEAMSEASID,SEASON,TEAM_ID,SEASON_ID,NAME,GP,W,L,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,"AST
RATIO",OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE,POSS
clippers-14,14,12,22014,clippers,82,57,25,111.3,104,7.3,62.8,1.77,18.3,28.8,69,49.6,14.3,52.6,56.7,96.66,54.8,"7,954"
lakers-14,14,13,22014,lakers,82,27,55,103.2,109.3,-6,63.9,1.62,18.1,23.5,67.6,45.9,15.2,50.5,54.2,99.72,46,"8,177"
grizzlies-14,14,14,22014,grizzlies,82,50,32,105.5,103.8,1.7,57.4,1.59,17.1,32.6,71.8,52.1,15,49.4,52.9,90.58,51.8,"7,476"
heat-14,14,15,22014,heat,82,54,28,110,105,5.1,58.8,1.52,18.1,24.4,68.6,47.6,15.9,55.4,59,91.9,53.9,"7,615"
bucks-14,14,16,22014,bucks,82,15,67,101.9,110.2,-8.3,59.6,1.42,16.5,31,67.8,49,16.1,47.9,51.9,92.96,44.9,"7,685"
timberwolves-14,14,17,22014,timberwolves,82,40,42,107.7,105.2,2.6,61.6,1.72,17.3,31.7,71.5,50.8,14,48.6,53.5,98.33,51.9,"8,139"
pelicans-14,14,18,22014,pelicans,82,34,48,106.2,109.1,-3,56.3,1.55,16.5,30.5,69.4,49.7,14.7,49.5,53.7,93.07,48.3,"7,703"
knicks-14,14,19,22014,knicks,82,37,45,107,108.1,-1.1,54.2,1.54,16,29.1,70.5,49.2,14.1,50.5,54.1,91.24,49,"7,556"
thunder-14,14,20,22014,thunder,82,59,23,109.4,103,6.4,56.2,1.43,16.6,29.4,72.2,51.8,15.8,52,56.6,96.33,54.3,"7,954"
magic-14,14,21,22014,magic,82,23,59,101,106.6,-5.7,57.1,1.41,16.4,26.7,71.4,49,15.6,48.7,52.5,94.27,46.6,"7,837"
76ers-14,14,22,22014,76ers,82,19,63,99,109,-10,57.6,1.29,16,29,68.4,47.9,16.8,47.5,51,99.74,42.6,"8,236"
suns-14,14,23,22014,suns,82,48,34,108.2,105.6,2.6,49.3,1.24,14.7,29.8,69.9,50,15.8,51.9,55.8,96.83,50.9,"7,973"
blazers-14,14,24,22014,blazers,82,54,28,110.4,106.2,4.2,59.4,1.69,17.2,32,71.3,51.7,14.2,50.4,54.8,95.9,52.4,"7,930"
kings-14,14,25,22014,kings,82,28,54,105.1,107.8,-2.7,51.1,1.24,14.6,31.6,72.5,51.8,15.9,48.4,53.2,95.04,47.3,"7,840"
spurs-14,14,26,22014,spurs,82,62,20,109.5,101.4,8.1,62.1,1.75,19,26.1,72.5,50.3,15,53.7,57.1,95.87,55.5,"7,887"
raptors-14,14,27,22014,raptors,82,48,34,107.9,104.6,3.3,58.1,1.5,16.4,31.2,70.1,50.5,15.1,49.8,54.5,92.48,51.2,"7,696"
jazz-14,14,28,22014,jazz,82,25,57,102.4,110.1,-7.6,56.4,1.39,16.1,29.7,70.8,49.7,15.8,48.4,52.3,92.32,45.1,"7,605"
wizards-14,14,29,22014,wizards,82,44,38,104.9,103.6,1.3,60.1,1.59,17.6,28.6,71.9,49.8,15.3,50.6,53.8,94.18,50.4,"7,872"
hawks-15,15,0,22015,hawks,82,60,22,108.2,102.3,5.9,67.6,1.81,19.5,26.4,69.7,48.7,15,52.7,56.3,94.66,54,"7,775"
celtics-15,15,1,22015,celtics,82,40,42,103.8,103.5,0.3,62.9,1.77,18,28.9,71,49.5,14.2,48.9,52.3,96.71,49.8,"8,007"
